Father_node,Child_node,语义关系,发言类型(Child_node)
8 肝内胆管CA术后10个月复发，记录靶向治疗,胸腺肽a1可以打的,0,1
49 低分化腺癌骨转，考虑来源于肺，该怎么办，求前辈们指点，谢谢！,应该也要吃叶酸+7,0,1
同时基因检测,有效，而且是奇效,3,3
灌注用吉西他滨，也算是局部化疗，代价就是有可能造成转移。肿瘤的任何治疗，包括有效的治疗也会有代价。据我的经验化疗和靶向对于胆管癌其实有效率差不多，都是20%到30%，只是化疗开展的普遍，医生有数据可以参考，主要考虑的还是副作用。,我爸胆管癌根治术后1年，现在大网膜转移，目前正在执行化疗 方案：  奥沙利铂+雷替曲塞+贝伐单抗,3,3
98 EGFR野生。ALK野生，做了一次化疗，实在吃不消，请问有什么靶向药可以试,很多人基因检测阴性后靶向成功的，不是绝对的，所以要试，不要灰心，试到有用就是赚的，我已经在准备了，化疗太痛苦，而且化疗几次后还是要走靶向，可以一直化疗的除非身体非常好,0,1
人参保肺丸和益肺清化颗粒都试过 效果都很好 但是咳嗽好了后  等下次咳嗽了再吃就没效果了,唑来膦酸立竿见影，副作用小，骨转后期可以考虑89锶和XL184 卡博替尼,1,2
"有淋巴转移,不能以为做完手术切除病灶就了事!!!父亲不幸得了这个病,作为子女,除了悉心照顾父亲外,一定要用心学习抗癌知识,多到论坛,恶补相关的治疗方法.........",是滴，医生不是万能的，现在病人那么多，也有照顾不周的情况，何况还有很多黑医生只顾自己利益，拿病人不当回事，所以家属一定要多了解治疗，护理，保养知识,1,2
"术后可以做基因及免疫组化，对以后用药也有指导。
之前做过化疗，手术后就可以吃靶向，化疗对身体伤害从一定程度上讲不亚于手术。","关键是你那位病友之前有没接受过内分泌治疗，转移病灶ER表达是怎样的。
如果之前没有接受过内分泌治疗，而且ER强阳性，那么去势的效果就很好。",3,3
如果身体条件太差就考虑小剂量多西他塞（每周方案）+小剂量希罗达（每天），或者小剂量希罗达+小剂量2992。,"多谢seacat给出的建议~ 我们会适时考虑尝试这个方案的^^
另外想问问cat,我们可否在用另一种靶向药之前，先用一个疗程的bkm120，来作为2992和下一种靶向药的隔断药呢？ 想听听你的意见。谢谢！",1,2
、建议9291，听说凯美娜耐药，直接可以获赠9291,感觉你家药换的比较频繁，可能是心急的原因吧，觉得还是吃到一定时间再判定有效无效，有时候刚吃几天，可能有别的原因导致吃的这几天状态不好，会导致你认为药无效。,1,2
96 妈妈61岁，脑转、骨转、疑似肝转，19基因突变。服用特罗凯，为妈妈祈福,"上 
唑来磷酸马上输吧，这个没冲突的，以后每三周或者四周一个周期输一次，除非产生严重副作用，不然不要停",0,1
33 妈妈肺腺癌晚期，今天开帖，与妈妈携手并进,脑转单个伽马刀效果比较好,0,1
未分化恶性程度最高，预后最差有条件试试PD1吧,你说的太有道理了  耐药后穿刺活检的部位不是肺部原发灶，而是腰部转移瘤，但也没办法，这都是按大夫的要求做的，现在再让我妈妈重新再到医院做一次肺部穿刺好像不太可能了,1,2
最好还是从根本解决，靶向药,唑来膦酸立竿见影，副作用小，骨转后期可以考虑89锶和XL184 卡博替尼,1,2
不管用什么药，能把C-反应蛋白降下来就行，这是近期的治疗目标；血压要降到160/100以下，这也是近期的目标；如果几天后达到这两个目标，就开始吃特罗凯。,谢谢您的帮助！我父亲4月8日做了消融，现在好多了，不那样痛了。谢谢您了！,3,3
建议楼主加测CA153、CA125。D-二聚体隔几个月测一下。,易瑞沙耐药的有点快。我要是楼主的话，上2992吧。,1,2
是呀不试试怎么知道有没有效果再说有的靶1向药副作用也不是很大，,楼主好年轻！听草船兄的，先不要管那么多了，试吃特罗凯先。特你买印度的就可以，一点不贵，大家都吃印度的，放心吧。其它的药你后面再学，特和易基本都是盲试首选。你有脑转，所以草船建议你先试特。别犹豫了。,1,2
9 求教，求救，求助，最后关头想搏一搏盲吃靶向药，求各位大神支招,到药店买八宝丹，先稳住肝功能，再考虑博一把靶向，不过八十的老人，如果感觉不好也就做姑息保养，别太遭罪,0,1
"化疗期间不用内分泌治疗。
化疗+2992，这个方案继续吧，能够耐受，而且继续有效的话总共做4个疗程，","关键是你那位病友之前有没接受过内分泌治疗，转移病灶ER表达是怎样的。
如果之前没有接受过内分泌治疗，而且ER强阳性，那么去势的效果就很好。",3,3
92 EGFR无突变，免疫组化无表达.腹膜转移、肠胀气，求解决胀气方案。。。,"请补充一下病人年纪，抽烟史。
（1）如果egfr有突变，就一线上易瑞沙。",0,1
建议手术，有很多案例是先化疗降期后再手术的，结果有控制的不错的，你多看看类似的案例。,"关键是你那位病友之前有没接受过内分泌治疗，转移病灶ER表达是怎样的。
如果之前没有接受过内分泌治疗，而且ER强阳性，那么去势的效果就很好。",3,3
11 医生为什么都说不建议直接上靶药，21号外显子L858R点突变,"美国的指南已经更新两年了，有突变的，先靶向，耐药后再考虑化疗。
有些医生还抱着今年前的指南，或者就是想化疗赚钱",0,1
25 求助帖： 老公肺腺癌晚期，疼痛厉害，易瑞沙耐药，求论坛的高人们指点！万分感谢！！,我的理解是19突变加T790M，首选2992；21突变加T790M，首选易/特联合4002。读完本楼的感想：1）憨豆先生的文章算是白写了；2）对于一上来就喊着用9291的人，我不知道他们在想什么。当然如果只想延长生命4、5个月，一上来就用9291则没有问题。,0,1
挂盐水只是暂时补充营养，没解决根本问题，还必须设法赶快缩小病灶才好。,"有的人是没办法做检查的
我妈也没做检查，年纪太大了，84岁。现在盲试的结果还不错，原来喝水都呛，现在都没事了，手也不抖了。",1,2
我也觉得没有病理不知道有没有突变的情况下，上化疗是没错的。有条件还是要跟病人多沟通，早期把各种检测做清楚了比较好,效果好的话可以一两年稳定，只定期检查就行了。,3,3
用头孢粉 敷一敷，会有效果~~,你说的太有道理了  耐药后穿刺活检的部位不是肺部原发灶，而是腰部转移瘤，但也没办法，这都是按大夫的要求做的，现在再让我妈妈重新再到医院做一次肺部穿刺好像不太可能了,1,2
补材料，怎么样的规定就怎么做，规定是死的，人是活的。别着急。,"可以考虑测以下5个免疫化组：ALK,C-MET,HER-2,VEGF,EGFR，如果ALK或C-MET有+号，就可以用克唑替尼或XL184",3,2
反正鳞癌，我觉得是什么都没有效，我们吉西他滨，紫杉醇化疗都不行，铂类的药太伤身体，以前我爸身体还可以的，现在很瘦，尽管他的基因未突变，我还是让他盲试了特罗凯，不管怎么样，他至少不会受那苦。建议你多学习，我是每天抽时间看，做笔记，相互努力吧。,化疗，不想化疗的话可以考虑靶向药特罗凯,1,2
86 31岁的老公查出肝癌晚期，挺着大肚子的我已六神无主,现在看不到肿瘤标志物的特异性，下次增加铁蛋白和AFU。今天开始除在医院的水飞蓟宾+复方斑蝥+夫塞米片+螺内脂片外增加抗病毒药拉米夫定，你不要太焦急等20多天后的复查看具体情况。,0,1
贝伐单用就可以，往胸腔罐，具体看我帖子，我妈妈一次就止住,白蛋白太低了，要每天注射白蛋白,3,3
