Father_node,Child_node,语义关系,发言类型(Child_node)
  肝内 胆管 CA 术后 10 月 复发 记录 靶向 治疗,胸腺肽 a1,0,1
49   低 分化腺癌 骨转 来源于 肺 求 前辈 指点 谢谢,吃 叶酸,0,1
基因 检测,奇效,3,3
灌注 用吉西 滨 算是 局部 化疗 代价 转移 肿瘤 治疗 包括 治疗 代价 经验 化疗 靶向 胆管癌 有效率 20% 30% 化疗 医生 数据 参考 副作用,我爸 胆管癌 根治术 年 网膜 转移 执行 化疗   方案     奥沙利 铂 雷替 曲塞 贝伐 单抗,3,3
98   EGFR 野生 ALK 野生 做 化疗 实在 吃不消 请问 靶向 药 试,基因 检测 阴性 靶向 成功 要试 灰心 试到 有用 赚 化疗 太 痛苦 化疗 几次 走 靶向 化疗 身体,0,1
参保 肺丸和益 肺 清化 颗粒 试过   效果   咳嗽     下次 咳嗽 吃 效果,唑 膦 酸 立竿见影 副作用 骨转 后期 89 锶 XL184   卡博替 尼,1,2
淋巴 转移 做 完 手术 切除 病灶 事 父亲 不幸 病 子女 悉心 照顾 父亲 外 用心 学习 抗癌 知识 多到 论坛 恶补 相关 治疗 方法 .........,滴 医生 万能 病人 照顾 不周 情况 黑 医生 只顾 利益 病人 当回事 家属 治疗 护理 保养 知识,1,2
"术后 做 基因 免疫组化 用药 指导 
 做过 化疗 手术 吃 靶向 化疗 身体 伤害 程度 讲 不亚于 手术","关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
身体 条件 太差 小剂量 多西 塞 每周 方案 小剂量 希罗 达 小剂量 希罗 达 小剂量 2992,"多谢 seacat 给出 建议   适时 尝试 方案 
 想 问问 cat 可否 一种 靶向 药 先 疗程 bkm120 2992 一种 靶向 药 隔断 药   想 听听 意见 谢谢",1,2
建议 9291 听说 凯美娜 耐药 获赠 9291,感觉 你家 药换 频繁 心急 原因 吃 时间 判定 无效 有时候 吃 几天 原因 导致 吃 几天 状态 不好 导致 药 无效,1,2
